company name,Current clients,Days per week of sanitation services,Hours logged by sanitation workers,Hours logged by public safety officers,Special event charges,Miscellaneous charges,Sanitation expenses,Public safety expenses,Streetscape & beautification expenses,Salaries,Outside contractor expenses,Insurance costs,Supplies and equipment costs,Total Quotation,Number_Of_Sanitation_Activities,Beautification_Activities,Media_Reach,Total_Staff,Sanitation_services_provided_Yes,Beautification_services_provided_Yes
Venture Universal Solutions,902,7,78588,30644,360146,16620,76314,40763,39172,194122,101408,2021,3736,172869,89978,481,-941407,50,1,1
Software Galaxy People,214,7,94859,84370,206317,61751,340053,320686,56506,984562,98006,63854,4367,778996,153023,902,15051860,64,1,1
Direct Resource Venture,214,7,94859,84370,0,0,0,0,0,0,0,0,0,0,153023,902,15051860,64,1,1
Provider Omega Electronics,214,7,177449,84370,423722,82043,327027,261844,201073,1174488,141086,90587,19627,871987,246060,610,11880600,125,1,1
Hill North Future,406,6,154966,48742,402157,22276,502772,20443,175840,412647,6810,89858,17336,721331,131343,458,1545892,4,1,1
Data Medicine People,1266,7,87240,48742,403576,7315,494795,13803,184138,222801,57125,103192,14381,700051,130271,682,3354420,55,0,1
Electronics Network Electronic,1032,7,90168,116086,127292,99129,113875,20489,197243,1029579,15007,11372,12097,430736,201046,322,11911550,39,1,1
Technology West Software,741,7,93776,112408,281710,47081,449095,256968,181703,1178400,3778,69554,5862,934847,196660,727,32577333,95,1,0
People Construction Consulting,674,3,172791,40086,196511,100230,338956,204910,20786,1157983,38833,9342,5683,664882,147341,441,13475615,65,1,1
Systems Provider Net,530,1,138795,40086,211646,98707,151773,34032,219731,1106705,15228,57461,18515,504243,87241,1044,3021710,51,1,1
North Solutions West,530,7,26002,21360,140849,47403,215788,321384,90217,385962,8979,59202,13390,674792,261812,1107,16091056,106,1,1
Venture Net Max,1047,7,58839,42207,281710,85021,157537,53967,126300,660200,140039,1734,9649,422825,259260,782,3436528,142,1,1
Solutions Industries Federated,748,7,175380,42207,225721,114132,568095,87134,157969,661080,141744,52444,9694,927330,240874,1092,29443902,78,1,1
Consulting People Analysis,1304,7,72558,42207,403576,7326,494794,13781,184084,222816,57086,103216,14371,699985,130335,614,9447620,98,0,1
Internet Architecture Federated,1304,7,19741,52322,449206,47224,428059,109747,41808,341539,1159570,16685,17154,626838,106451,453,25145725,109,1,1
East Industries Electronics,1553,7,124583,84147,196511,2180,439349,122299,56543,545844,38776,17474,19705,620371,135126,208,56993017,69,1,0
Medicine Pacific Studio,1078,7,126566,84147,403576,36665,61630,337185,190507,989886,67612,40013,20097,625987,125393,282,2361498,53,1,1
Electronic Signal Universal,1134,7,181277,84147,225721,114135,568072,87089,157989,660213,141770,52435,9711,927285,240845,1001,25097104,75,1,1
Telecom Venture Contract,877,7,65498,24392,360146,16615,76298,40754,39236,194125,101380,2011,3721,172903,89991,515,9189437,47,1,1
Data Medicine Internet,466,3,95713,24392,196511,49277,322570,204900,236495,1189593,111383,89857,2595,813242,123950,731,10435076,114,1,0
Universal Interactive General,425,7,129987,24392,9795,113352,317094,78570,92375,202161,99229,77484,19159,601391,92404,695,9006873,170,1,0
Technology Application Venture,425,7,160310,24392,423722,82028,327014,261884,201076,1174456,141067,90654,19666,872002,246113,655,10437411,116,1,1
Alpha Bell Medicine,591,7,179524,24392,225721,114157,568094,87105,158032,660233,141785,52418,9660,927388,240811,1044,32274093,93,1,1
Speed Galaxy Consulting,657,1,126288,24392,211646,98764,151778,34027,219724,1106722,15225,57415,18520,504293,87111,1020,9129000,75,1,1
General Provider Building,485,7,16581,24392,76796,95139,442607,34010,59065,785055,74757,9840,15919,630821,143389,805,14578096,32,1,0
Graphics South Building,713,7,35073,67516,360146,68313,82463,169051,180080,425502,72135,70624,14701,499907,194207,652,22218356,162,1,1
Application Building Galaxy,713,7,35073,67516,211646,122154,328294,276037,172197,776961,15217,27251,2238,898682,194207,652,22218356,162,1,1
Max Pacific Bell,591,7,180540,67516,225721,114128,568099,87125,158008,661090,141779,52445,9666,927360,240947,1013,29591879,87,1,1
Atlantic Network Industries,652,7,79647,100739,336921,8572,566668,31469,131680,700093,58294,21526,2598,738389,75965,722,28496952,129,1,1
West Frontier Future,3251,7,82911,125994,281710,27342,169920,86660,10275,325501,87063,68435,18128,294197,256234,935,1291757,66,1,1
South Electronics Medicine,428,7,35616,125994,76796,95111,442595,34023,59034,785066,74761,9807,15980,630763,143505,777,11983607,79,1,0
Venture Adventure Solutions,983,7,69696,26913,281710,64052,316439,133244,27316,1189473,73700,78139,18003,541051,164589,636,7071398,98,1,1
Alpha Power Innovation,402,7,159090,26913,19576,102242,508789,26232,51544,600488,21440,53784,10700,688807,160095,492,14506664,95,1,1
Construction Internet Interactive,361,7,161162,72189,196511,31047,540568,127420,160786,377013,114363,88744,18868,859821,43742,495,57339189,87,1,1
Architecture Studio Software,587,7,81622,121090,19576,1318,560367,71908,233544,776124,61043,89702,2587,867137,243478,646,6724983,71,1,1
Analysis Alpha Resource,819,7,52132,107241,167592,63369,277627,44330,79350,436457,139718,76766,13426,464676,262501,913,224996,165,1,1
Digital Frontier Innovation,1035,5,90162,107241,30373,22100,86738,306522,209495,590061,63136,109193,6880,624855,138352,627,26441356,127,1,1
Frontier Technology Research,1035,7,15182,120275,34603,75220,365018,262633,173896,565160,55490,30808,16194,876767,36515,1131,44896724,80,1,1
Research Star Solutions,783,5,143658,120275,454427,71833,258657,87080,91208,1178032,141719,6931,1551,508778,81496,823,41731389,67,1,1
Internet Construction Analysis,209,1,118705,120275,211646,98756,151747,34020,219699,1106742,15236,57441,18486,504222,87140,1038,10095932,54,1,1
Federated Max Telecom,554,7,85317,17201,449206,29988,353068,53949,37415,660219,132359,104781,9349,474420,214497,386,6843028,21,1,1
Hill Research Alpha,437,7,115278,111614,281710,47123,449089,256984,181717,1178396,3804,69513,5836,934913,196629,694,32587161,128,1,0
Advanced Hill Electronic,464,7,56882,31015,360146,85033,157479,53973,126283,660254,140032,1766,9706,422768,259248,738,618898,121,1,1
Signal South Systems,1606,7,122705,32845,281710,25146,441223,146665,119357,254140,7288,112677,5281,732391,79645,746,31983945,125,1,0
Telecom Medicine Adventure,574,5,104697,32845,30373,22089,86796,306558,209534,590129,63137,109174,6913,624977,138394,610,29850294,145,1,1
Interactive Universal Data,458,7,59278,96699,336921,8617,566634,31490,131666,700095,58244,21540,2637,738407,75928,628,25000670,113,1,1
Innovation Digital Adventure,902,7,175679,96699,225721,114131,568097,87089,158011,661118,141762,52442,9709,927328,240898,1045,29880417,78,1,1
Analysis Hill Systems,837,7,151138,63270,196511,31058,540533,127348,160817,377026,114312,88711,18871,859756,43717,472,53883016,72,1,1
Software Speed Frontier,3469,7,83492,118502,281710,27348,169911,86674,10232,325510,87011,68387,18176,294165,256229,1044,1217412,62,1,1
Source Future Analysis,873,6,151343,58566,402157,22273,502802,20452,175890,412632,6819,89905,17319,721417,131361,348,2416666,18,1,1
Federated Architecture Vision,5367,7,73192,42795,281710,116319,33993,184178,64195,51785,30992,54216,8523,398685,96967,793,33382809,105,1,1
Construction Consulting Solutions,789,7,137587,42795,9795,20655,328628,118999,45432,280405,10127,101104,4194,513714,162255,574,9205452,126,1,1
Advanced Architecture Hill,672,7,34741,111494,76796,9745,93118,179295,75521,841291,69487,40107,1028,357679,261949,429,16809999,156,1,1
Bell Research Internet,418,7,154906,111494,19576,102260,508808,26222,51544,600538,21448,53757,10724,688834,160159,487,14263169,95,1,1
Electronic Future Max,151,7,165007,68081,196511,31002,540517,127402,160784,377002,114357,88732,18889,859705,43669,466,55626753,112,1,1
Universal Consulting Atlantic,147,7,63286,30221,360146,16570,76267,40748,39166,194140,101427,2025,3787,172751,89962,562,6010931,66,1,1
Industries General Interactive,420,7,90932,74093,206317,61766,339995,320749,56494,984549,98057,63871,4355,779004,152930,928,12968952,63,1,1
Solutions Electronic Electronic,648,7,98842,108812,281710,47120,449043,256942,181671,1178411,3768,69504,5852,934776,196582,700,33017300,135,1,0
Solutions Virtual Solutions,811,7,62230,92584,336921,8573,566633,31459,131690,700084,58290,21581,2594,738355,75930,607,29277574,92,1,1
Vision East Architecture,811,7,167848,92584,167592,104174,418709,324583,24320,1064655,132237,100518,19339,871786,195469,622,17877447,73,1,1
Speed Electronic Telecom,811,7,170035,92584,423722,82008,327030,261828,201111,1174479,141037,90654,19642,871977,246139,623,9011699,153,1,1
Venture Omega Systems,811,7,97706,33133,232796,38833,432985,340552,76823,849161,79909,15801,16436,889193,66822,681,11231072,54,1,1
Architecture Omega Signal,269,7,89122,73669,206317,61799,340020,320704,56487,984514,98058,63843,4339,779010,152958,907,12666148,82,1,1
Source General Universal,134,7,110815,18489,449206,30028,353070,276008,37417,776944,132340,104806,9346,696523,214516,394,6011099,54,1,1
Contract Source Telecom,827,7,49877,65469,291340,47833,214541,86568,126995,467420,30962,19661,4837,475937,59279,868,16913910,128,1,1
Innovation West Systems,3319,7,76711,126114,281710,27384,169948,86643,10221,325523,87055,68444,18129,294196,256262,1010,1035250,35,1,1
Construction Software Atlantic,1001,7,23380,126114,76796,95106,442581,34044,59022,785059,74723,9804,15930,630753,143415,787,5497597,48,1,0
East North Construction,908,7,78687,98293,121123,25566,234766,180029,190145,65923,72206,66435,11561,630506,169092,899,30172759,140,1,1
Alpha Medicine Direct,1387,7,31093,114273,167592,63362,277651,44310,79365,436509,139721,76793,13418,464688,262522,870,572768,182,1,1
Electronic Technology Electronic,508,7,31980,72650,360146,68308,82405,169037,180050,425428,72134,70609,14719,499800,194195,497,19885343,140,1,1
Pacific Galaxy Adventure,653,7,77508,129309,19576,1322,560356,71931,233523,776098,61061,89718,2574,867132,243424,623,5967678,72,1,1
Vision Hardware Software,271,7,75982,25672,360146,16596,76294,40759,39214,194166,101427,2001,3711,172863,89997,576,8197884,77,1,1
Future Virtual Hardware,793,7,65298,97767,121123,25563,234839,179996,190144,65921,72273,66432,11529,630542,169078,990,30830223,125,1,1
Architecture Atlantic Speed,919,7,50288,29491,20214,80387,502335,229204,78392,733645,130432,21242,13034,890318,86672,932,33652719,68,1,1
Electronics Electronic Solutions,420,7,68730,34272,360146,16586,76314,40736,39237,194128,101424,2068,3714,172873,89972,528,-742725,92,1,1
Electronic Star Provider,721,7,53091,88182,217535,71658,68103,287344,87038,916964,137446,96663,16941,514143,125915,485,7679268,75,1,1
Provider Bell Power,870,7,112695,13074,449206,30007,353052,276009,37401,776965,132295,104824,9328,696469,214434,329,6267900,52,1,1
Galaxy Electronics Star,1371,5,113786,13074,9795,111994,116197,118975,63076,1077007,10157,23225,5034,410242,74282,672,76966645,101,1,1
Internet Bell Federated,376,7,61698,95202,336921,8565,566622,31446,131676,700148,58277,21566,2632,738309,76000,740,27252835,94,1,1
Star East Software,601,6,136131,49536,402157,22247,502798,20456,175866,412640,6829,89877,17319,721367,131360,317,2242948,42,1,1
East Industries Innovation,889,7,55200,123248,403576,15340,370772,109687,147311,621184,45846,64445,11011,643110,93005,437,59930548,87,1,1
Venture North Studio,1970,7,144057,31117,281710,25200,441191,146616,119367,254149,7346,112732,5335,732374,79683,645,36322146,108,1,0
Application Venture Studio,1459,7,100603,77153,281710,30960,165565,116088,47406,1081558,105659,68436,16320,360019,234582,433,2469129,77,1,1
West Innovation Data,699,7,70424,123732,19576,1299,560348,71928,233528,776127,61022,89707,2515,867103,243438,603,5556742,77,1,1
Galaxy Network Solutions,588,3,162370,37806,196511,100204,338964,204941,20800,1157928,38823,9393,5681,664909,147377,564,13601917,82,1,1
Hill Advanced Source,588,7,97329,21054,232796,38782,433035,340506,76822,849173,79940,15795,16464,889145,66823,701,10976969,64,1,1
Adventure Architecture Application,619,7,163170,125482,192313,103388,566264,114249,237619,377024,120205,73741,12625,1021520,250467,321,20326086,129,1,1
Internet Federated Contract,1040,7,154415,125482,9795,20623,328596,118998,45454,280394,10143,101068,4233,513671,162221,551,6645795,119,1,1
Adventure Building Research,864,7,153484,125482,9795,113365,317163,78644,92339,202195,99164,77498,19106,601511,92422,681,9883758,174,1,0
Star Provider Net,864,7,153520,125482,167592,104214,418779,324600,24315,1064679,132205,100574,19337,871908,195530,696,17955003,47,1,1
Speed Venture General,864,7,42212,2979,442174,54020,343637,26265,191108,1016619,135587,10748,7554,615030,163695,840,11817485,100,1,1
Venture Signal Federated,406,7,82141,100409,121123,25552,234792,180018,190104,65967,72213,66454,11550,630466,169002,863,35592144,106,1,1
Federated Provider Interactive,464,7,95357,56959,217535,111254,294287,249908,244783,921563,58987,71358,7975,900232,267262,503,7705509,65,1,0
Power Digital Hardware,702,5,133211,56959,9795,112009,116175,118935,63105,1076996,10186,23161,5040,410224,74277,762,75817306,124,1,1
Signal Digital Design,702,7,173648,56959,423722,81998,327038,261861,201086,1174511,141037,90645,19632,871983,246081,563,11215240,123,1,1
Innovation Internet Systems,954,1,31911,99372,449206,50156,547796,109722,198651,497567,18225,72485,13345,906325,274220,617,38713303,90,1,1
Industries Signal General,1228,7,46993,114855,76796,9711,93063,179289,75531,841346,69490,40108,1026,357594,261919,431,16130918,134,1,1
Max Software Power,351,7,87014,75112,206317,61777,340050,320749,56488,984583,98010,63832,4343,779064,152964,802,14008263,80,1,1
Systems Virtual Systems,734,1,46237,108898,449206,50133,547816,109742,198633,497585,18209,72498,13328,906324,274262,653,37510650,114,1,1
Analysis West Provider,734,7,46237,108898,211646,122161,328332,276034,172237,776964,15189,27243,2173,898764,274262,653,37510650,114,1,1
Research People Future,972,7,39552,108898,76796,95096,442606,34008,59013,785079,74692,9846,15929,630723,143479,763,4386178,58,1,0
People Hill Net,1066,7,70454,109343,127292,99157,113922,20453,197247,1029582,15048,11395,12024,430779,201046,304,14419863,46,1,1
Studio Federated People,695,5,121278,109343,454427,71858,258668,87139,91230,1178082,141725,6939,1529,508895,81530,828,42838203,82,1,1
Net Venture People,695,7,83922,109343,454427,70657,167254,324807,105336,1036687,29280,72808,8384,668054,217922,463,13054193,162,1,1
Consulting Hardware Future,1757,7,122143,26254,281710,25206,441221,146642,119371,254100,7333,112735,5288,732440,79717,698,40405653,142,1,0
Analysis Frontier Digital,1361,1,45544,99009,449206,50162,547798,109757,198618,497537,18220,72535,13315,906335,274225,544,39166911,88,1,1
Bell Alpha Star,1361,7,102859,21657,232796,38773,433031,340563,76870,849155,79973,15818,16469,889237,66744,631,11137233,92,1,1
Network Source Telecom,1115,7,84836,115505,127292,99147,113897,20498,197237,1029560,15021,11356,12094,430779,201171,293,12235892,34,1,1
Solutions North Building,1115,7,45294,29769,140849,47393,215790,321434,90193,385928,8937,59266,13403,674810,261760,1048,17714500,151,1,1
Telecom Bell Innovation,528,7,38412,10607,291340,57490,486615,266634,136175,222459,93289,9873,2158,946914,220820,876,48185733,117,1,1
Vision Advanced Digital,223,7,91047,10607,121123,37490,91582,202824,57264,980044,12232,61639,18636,389160,217455,454,37588754,130,1,1
Galaxy Design Signal,895,5,127024,10607,454427,71810,258658,87122,91221,1178049,141728,6947,1537,508811,81473,747,39669858,41,1,1
Contract Hardware North,650,7,72649,96709,217535,71665,68129,287381,86987,916932,137418,96644,16985,514162,125878,533,8505278,55,1,1
Data Provider Omega,939,7,81472,97989,336921,8604,566672,31458,131715,700103,58258,21526,2607,738449,75923,697,22982719,96,1,1
Star Net North,939,7,40397,39110,360146,14963,574584,293693,187657,1189031,72646,75669,13071,1070897,146844,602,45965922,13,1,1
Electronic Graphics Future,228,7,173672,73245,196511,31013,540576,127375,160847,377033,114346,88723,18877,859811,43699,484,47171473,105,1,1
West Source People,533,7,183899,73245,225721,114177,568095,87114,157988,661074,141787,52438,9715,927374,240904,1039,34075598,79,1,1
Telecom General Internet,298,7,56958,34972,360146,85019,157517,53984,126270,660252,140057,1756,9716,422790,259187,786,2679272,173,1,1
Building Studio Max,974,7,92822,18045,281710,64053,316417,133296,27339,1189478,73706,78150,17947,541105,164537,767,7283659,86,1,1
Federated Advanced North,989,1,53167,97708,449206,50168,547805,109711,198640,497552,18233,72508,13323,906324,274317,710,38112841,58,1,1
Galaxy Analysis Consulting,3218,7,62994,125917,281710,27366,169894,86666,10260,325472,87048,68412,18160,294186,256186,972,1096107,49,1,1
General People Net,3218,7,134149,74255,403576,54442,231233,196612,25142,238738,63369,69918,13581,507429,54620,409,44166876,31,1,1
Innovation Internet Vision,837,7,156341,74255,19576,102224,508738,26223,51520,600521,21415,53792,10670,688705,160162,440,15587376,87,1,1
Max Speed East,1174,7,63014,70585,281710,116281,342279,161259,127480,255318,8726,63168,16204,747299,160343,787,22547583,87,1,1
Studio Hardware Star,1174,7,98335,70585,454427,70604,167262,324762,105355,1036729,29291,72839,8362,667983,217992,566,14791304,108,1,1
Atlantic Application Galaxy,1769,7,98081,70585,403576,7330,494798,13779,184067,222823,57054,103205,14417,699974,130305,607,1892387,79,0,1
Vision Net Systems,608,7,44937,70821,360146,68243,82459,169064,180029,425466,72188,70596,14734,499795,194266,545,19113128,149,1,1
Speed Electronics Pacific,271,7,154468,70821,9795,113364,317140,78588,92312,202179,99178,77478,19164,601404,92304,703,9954931,159,1,0
Architecture Systems Innovation,681,5,126723,70821,454427,71855,258636,87101,91191,1178029,141761,6976,1489,508783,81562,771,45058140,54,1,1
Federated Virtual Adventure,989,7,97478,70821,403576,7337,494751,13782,184141,222862,57069,103193,14385,700011,130320,638,5549831,92,0,1
Research Source Federated,846,7,97184,14168,281710,64066,316418,133304,27308,1189490,73738,78106,17975,541096,164580,701,7064784,110,1,1
Software Advanced Design,352,7,140524,14168,9795,20624,328602,118962,45398,280403,10129,101117,4220,513586,162235,468,8214644,152,1,1
Construction South Telecom,352,7,42661,38195,360146,14957,574596,293698,187612,1188995,72678,75687,13008,1070863,146725,598,44126901,70,1,1
Studio Pacific Federated,352,7,35108,53179,449206,47201,428118,109754,41832,341487,1159519,16671,17131,626905,106433,389,32197216,83,1,1
Medicine Pacific Medicine,1011,7,180628,120754,192313,103330,566264,114318,237578,377012,120221,73695,12606,1021490,250386,300,19932374,147,1,1
Graphics Speed Net,525,7,75770,128496,403576,15343,370765,109730,147261,621191,45806,64512,10997,643099,93042,479,60631970,54,1,1
Advanced Federated Electronic,235,7,14839,128496,76796,95143,442546,34043,59012,785120,74758,9822,15917,630744,143445,783,10313604,27,1,0
Star People Industries,156,7,94369,17068,449206,29977,353111,275989,37440,776932,132338,104809,9392,696517,214480,401,6885545,32,1,1
Frontier Architecture Technology,996,7,67875,17279,281710,64104,316425,133278,27295,1189467,73713,78145,17993,541102,164518,730,5569128,89,1,1
Hill Future Innovation,772,7,56189,30475,281710,85081,157518,53986,126298,660250,140080,1715,9659,422883,259278,742,1053182,125,1,1
West Graphics Telecom,557,7,42257,112234,76796,9744,93118,179299,75529,841290,69433,40137,994,357690,261923,464,17488130,97,1,1
Solutions Architecture Frontier,860,5,100033,112234,30373,22069,86741,306589,209566,590122,63118,109147,6952,624965,138325,684,22473795,160,1,1
Electronics Federated Universal,987,7,94632,112234,403576,7309,494805,13794,184099,222835,57120,103166,14395,700007,130296,604,2135493,88,0,1
Alpha Future South,795,7,153276,112234,9795,113347,317127,78629,92322,202171,99209,77439,19110,601425,92400,764,12585893,175,1,0
Future Net Internet,602,1,120726,112234,211646,98692,151736,34022,219739,1106755,15180,57439,18478,504189,87113,1032,9771008,47,1,1
Vision Data Solutions,510,7,103658,112234,19576,59470,177319,236775,168157,661066,54690,89467,17140,641721,99708,357,58418365,130,1,1
Innovation Provider Atlantic,614,7,63684,14003,211646,122125,328343,276032,172230,776957,15201,27303,2203,898730,105671,859,11875483,123,1,1
